"","serverId","vypadekId","zacatek","konec"
"70",1168501,1391875494,"2014-02-08 17:04:54","2014-02-08 17:14:54"
"71",1168501,1391673894,"2014-02-06 09:04:54","2014-02-06 09:14:54"
"72",1168501,1391505894,"2014-02-04 10:24:54","2014-02-04 10:34:54"
"73",1168501,1391492094,"2014-02-04 06:34:54","2014-02-04 06:44:54"
"74",1168501,1391195094,"2014-01-31 20:04:54","2014-01-31 20:14:54"
"75",1168501,1390842294,"2014-01-27 18:04:54","2014-01-27 18:14:54"
"76",1168501,1390812294,"2014-01-27 09:44:54","2014-01-27 09:54:54"
"77",1168501,1390363494,"2014-01-22 05:04:54","2014-01-22 05:14:54"
"78",1168501,1390349094,"2014-01-22 01:04:54","2014-01-22 01:14:54"
"79",1168501,1390304094,"2014-01-21 12:34:54","2014-01-21 12:44:54"
"80",1168501,1390138494,"2014-01-19 14:34:54","2014-01-19 14:44:54"
"81",1168501,1389970494,"2014-01-17 15:54:54","2014-01-17 16:04:54"
"82",1168501,1389916494,"2014-01-17 00:54:54","2014-01-17 01:04:54"
"83",1168501,1389160494,"2014-01-08 06:54:54","2014-01-08 07:04:54"
"84",1168501,1388285094,"2013-12-29 03:44:54","2013-12-29 03:54:54"
"85",1168501,1386273894,"2013-12-05 21:04:54","2013-12-05 21:44:54"
"86",1168501,1385946894,"2013-12-02 02:14:54","2013-12-02 02:24:54"
"87",1168501,1384367694,"2013-11-13 19:34:54","2013-11-13 19:44:54"
"88",1168501,1383820494,"2013-11-07 11:34:54","2013-11-07 11:44:54"
"89",1168501,1383633294,"2013-11-05 07:34:54","2013-11-05 08:24:54"
"90",2084992,1387390719,"2013-12-18 19:18:39","2013-12-18 19:28:39"
"91",1186768,1391417666,"2014-02-03 09:54:26","2014-02-03 10:04:26"
"92",1186768,1391397866,"2014-02-03 04:24:26","2014-02-03 04:34:26"
"93",1186768,1391382266,"2014-02-03 00:04:26","2014-02-03 00:14:26"
"94",1186768,1391308466,"2014-02-02 03:34:26","2014-02-02 03:44:26"
"95",1186768,1391296466,"2014-02-02 00:14:26","2014-02-02 00:24:26"
"96",1186768,1389419666,"2014-01-11 06:54:26","2014-01-11 07:04:26"
"97",1186768,1389413666,"2014-01-11 05:14:26","2014-01-11 05:24:26"
"98",1186768,1389401066,"2014-01-11 01:44:26","2014-01-11 01:54:26"
"99",1186768,1389396266,"2014-01-11 00:24:26","2014-01-11 00:34:26"
"100",1186768,1389331466,"2014-01-10 06:24:26","2014-01-10 06:34:26"
"101",1186768,1389325466,"2014-01-10 04:44:26","2014-01-10 05:24:26"
"102",1186768,1389322466,"2014-01-10 03:54:26","2014-01-10 04:24:26"
"103",1186768,1389318866,"2014-01-10 02:54:26","2014-01-10 03:44:26"
"104",1186768,1389312866,"2014-01-10 01:14:26","2014-01-10 01:34:26"
"105",1186768,1389311666,"2014-01-10 00:54:26","2014-01-10 01:04:26"
"106",1186768,1389308666,"2014-01-10 00:04:26","2014-01-10 00:24:26"
"107",1186768,1389302666,"2014-01-09 22:24:26","2014-01-09 22:44:26"
"108",1186768,1389300266,"2014-01-09 21:44:26","2014-01-09 21:54:26"
